iter	Passed	Remaining
0	152	151938
1	153	76470
2	154	51288
3	155	38684
4	156	31130
5	157	26078
6	158	22473
7	159	19768
8	160	17662
9	161	15978
10	162	14633
11	163	13489
12	164	12517
13	165	11681
14	166	10956
15	167	10331
16	169	9773
17	169	9273
18	171	8833
19	178	8763
20	180	8392
21	181	8077
22	182	7760
23	183	7475
24	184	7210
25	185	6965
26	187	6748
27	188	6537
28	189	6339
29	190	6156
30	191	5985
31	192	5823
32	193	5675
33	194	5532
34	195	5397
35	196	5270
36	197	5147
37	199	5047
38	200	4937
39	201	4832
40	202	4733
41	203	4638
42	204	4547
43	205	4462
44	206	4385
45	207	4306
46	208	4231
47	209	4159
48	210	4089
49	211	4027
50	213	3963
51	213	3900
52	214	3839
53	215	3781
54	216	3724
55	218	3675
56	219	3624
57	220	3574
58	221	3525
59	221	3477
60	222	3432
61	224	3389
62	224	3345
63	225	3304
64	227	3267
65	228	3229
66	229	3191
67	229	3149
68	230	3113
69	231	3078
70	232	3043
71	233	3010
72	234	2977
73	235	2945
74	236	2914
75	237	2884
76	238	2854
77	239	2825
78	240	2798
79	240	2771
80	241	2744
81	242	2718
82	243	2694
83	244	2669
84	245	2642
85	246	2620
86	247	2595
87	248	2573
88	249	2551
89	250	2529
90	251	2508
91	252	2488
92	253	2467
93	253	2447
94	254	2428
95	255	2410
96	256	2392
97	257	2373
98	258	2355
99	259	2338
100	260	2321
101	261	2300
102	262	2283
103	263	2267
104	264	2252
105	265	2236
106	266	2220
107	267	2205
108	268	2191
109	269	2176
110	270	2162
111	270	2148
112	271	2133
113	272	2120
114	273	2106
115	274	2091
116	275	2077
117	276	2065
118	277	2051
119	278	2038
120	278	2026
121	279	2014
122	280	1999
123	281	1987
124	282	1977
125	283	1965
126	284	1956
127	285	1942
128	286	1932
129	287	1921
130	288	1910
131	289	1900
132	289	1889
133	290	1878
134	291	1868
135	292	1858
136	293	1848
137	294	1838
138	295	1828
139	296	1819
140	297	1809
141	298	1800
142	298	1791
143	299	1783
144	300	1774
145	301	1765
146	302	1756
147	303	1748
148	304	1740
149	305	1732
150	306	1723
151	307	1715
152	308	1707
153	309	1699
154	310	1692
155	311	1684
156	312	1676
157	313	1669
158	314	1661
159	315	1654
160	315	1646
161	316	1639
162	317	1632
163	318	1625
164	319	1618
165	320	1612
166	321	1605
167	322	1598
168	323	1592
169	324	1585
170	325	1579
171	326	1572
172	327	1566
173	328	1560
174	329	1553
175	330	1547
176	331	1541
177	332	1535
178	333	1529
179	334	1523
180	334	1515
181	335	1509
182	336	1503
183	337	1497
184	338	1491
185	339	1486
186	340	1480
187	341	1475
188	342	1469
189	343	1463
190	344	1458
191	345	1453
192	346	1448
193	347	1442
194	348	1437
195	349	1432
196	350	1427
197	351	1422
198	352	1416
199	353	1412
200	354	1407
201	354	1402
202	356	1397
203	357	1393
204	357	1387
205	358	1383
206	359	1378
207	360	1373
208	361	1368
209	362	1364
210	363	1359
211	364	1356
212	365	1351
213	366	1347
214	367	1343
215	368	1338
216	369	1334
217	370	1330
218	371	1325
219	372	1321
220	373	1317
221	374	1312
222	375	1308
223	376	1304
224	377	1300
225	378	1296
226	379	1292
227	380	1288
228	381	1284
229	382	1280
230	383	1276
231	384	1272
232	385	1268
233	386	1264
234	387	1261
235	388	1257
236	389	1253
237	390	1249
238	391	1246
239	392	1242
240	393	1238
241	394	1234
242	395	1231
243	396	1227
244	397	1223
245	397	1219
246	398	1216
247	399	1212
248	400	1209
249	401	1205
250	402	1202
251	403	1198
252	404	1194
253	405	1191
254	406	1187
255	407	1184
256	408	1181
257	409	1177
258	410	1174
259	411	1170
260	412	1167
261	413	1163
262	414	1160
263	415	1157
264	415	1153
265	416	1150
266	417	1147
267	418	1144
268	419	1140
269	420	1137
270	421	1134
271	422	1131
272	423	1128
273	424	1124
274	425	1121
275	426	1118
276	427	1115
277	428	1112
278	429	1109
279	430	1106
280	431	1102
281	431	1099
282	432	1096
283	433	1093
284	434	1090
285	435	1087
286	436	1084
287	437	1081
288	438	1078
289	439	1076
290	440	1073
291	441	1070
292	442	1067
293	443	1064
294	444	1061
295	445	1058
296	445	1055
297	446	1052
298	447	1049
299	448	1046
300	449	1044
301	450	1041
302	451	1038
303	452	1035
304	453	1032
305	454	1030
306	455	1027
307	456	1024
308	456	1021
309	457	1019
310	458	1016
311	459	1013
312	460	1011
313	461	1008
314	462	1005
315	463	1002
316	464	1000
317	465	997
318	466	995
319	467	992
320	467	989
321	468	987
322	469	984
323	470	981
324	471	978
325	472	976
326	473	973
327	473	970
328	474	968
329	475	965
330	476	963
331	477	960
332	478	957
333	479	955
334	479	952
335	480	949
336	481	947
337	482	944
338	483	942
339	484	939
340	484	937
341	485	934
342	486	932
343	487	929
344	488	926
345	489	924
346	489	921
347	490	919
348	491	916
349	492	914
350	493	911
351	494	909
352	495	907
353	495	904
354	496	902
355	497	899
356	498	897
357	499	895
358	500	892
359	500	890
360	501	888
361	502	885
362	503	883
363	504	881
364	505	878
365	505	876
366	506	874
367	507	871
368	508	869
369	509	867
370	510	865
371	511	863
372	512	861
373	513	859
374	514	858
375	515	856
376	516	854
377	517	852
378	518	850
379	519	847
380	520	845
381	521	843
382	522	841
383	523	839
384	524	837
385	525	835
386	526	833
387	527	831
388	528	829
389	529	827
390	529	825
391	530	823
392	531	821
393	532	819
394	533	817
395	534	815
396	535	813
397	536	811
398	537	809
399	538	807
400	539	805
401	540	803
402	541	801
403	542	799
404	543	797
405	544	796
406	545	794
407	546	792
408	547	790
409	548	788
410	549	786
411	550	784
412	551	783
413	552	781
414	553	779
415	554	778
416	555	775
417	555	773
418	556	771
